#,项目,跟踪,父任务,状态,优先级,主题,作者,指派给,更新于,类别,目标版本,开始日期,计划完成日期,预期时间,耗时,% 完成,创建于,结束日期,相关的问题,Bug类型,Bug严重程度,Bug引入阶段,Bug发现阶段,私有,描述
7797,sitv产品化项目dcms,Bug,"",新建,中,投票中选择节目时，翻页后无法按确定,殷 春捷,张 晓波,2016-04-25 16:28,业务管理,dcms-V0.3,2016-04-25,"","",0.00,0,2016-04-25 16:28,"","",功能类,一般,"","",false,投票中选择节目时，翻页后无法按确定
7743,sitv产品化项目dcms,Bug,"",新建,中,丹阳DCMS的AMS的重新注入的请求时间问题,殷 春捷,张 晓波,2016-04-15 17:04,内容采集,dcms-V0.3,2016-04-15,"","",0.00,0,2016-04-15 17:04,"","",功能类,一般,"","",false,丹阳DCMS的AMS的重新注入的请求时间问题
7571,sitv产品化项目dcms,Feature,"",新建,中,将缓存清理天数的配置加入到配置文件中,殷 春捷,张 晓波,2016-03-30 10:09,内容管理,dcms-V0.3,2016-03-30,"","",0.00,0,2016-03-30 10:09,"","","","","","",false,将缓存清理天数的配置加入到配置文件中
7553,SiTV产品化项目,Feature,"",新建,中,CCMS驻地下发图片FTP地址可配,殷 春捷,张 晓波,2016-03-28 16:39,ccms-驻地管理,新cCMS-现网版本2.0,2016-03-28,"","",0.00,0,2016-03-28 16:39,"","","","","","",false,CCMS驻地下发图片FTP地址可配
7424,sitv产品化项目dcms,Feature,"",新建,中,DCMS增加LOG需求,殷 春捷,张 晓波,2016-03-10 16:24,内容采集,dcms-V0.3,2016-03-10,"","",0.00,0,2016-03-10 16:24,"","","","","","",false,在IMSP采集、IMSP传输、AMS内容注入添加按钮点击的操错日志～
7356,SiTV产品化项目,Feature,"",已解决,中,修改ott转码策略默认为发起还原,殷 春捷,张 晓波,2016-03-07 16:48,ccms-工单管理,新cCMS-现网版本2.0,2016-03-07,2016-03-08,"",0.00,0,2016-03-07 16:47,2016-03-07 16:48,"","","","","",false,修改ott转码策略默认为发起还原
7334,SiTV产品化项目,Feature,"",新建,最高,编排管理-驻地编排：dcms驻地重发功能目前只能分发有版权时间的编排单。期望结果：在不够选编排的情况下能重新分发所有编排单,王 凯娜,赖 凯云,2016-03-02 16:33,ccms-编排管理,新cCMS-现网版本2.0,2016-03-02,"","",0.00,0,2016-03-02 16:33,"","","","","","",false,""
7251,SiTV产品化项目,Feature,"",新建,很高,展示栏目新增删除功能，做逻辑删除,王 凯娜,张 晓波,2016-02-24 17:22,ccms-展示管理,新cCMS-现网版本2.0,2016-02-24,"","",0.00,0,2016-02-24 17:22,"","","","","","",false,""
7199,sitv产品化项目dcms,Bug,"",待升级,中,编排采集，如果一个节目同一栏目的多条编排创建时间一样，则只会生成一条节目编排,殷 春捷,张 晓波,2016-02-19 17:53,系统管理,dcms-V0.3,2016-02-19,"","",0.00,0,2016-02-19 17:53,2016-02-19 17:53,"",功能类,一般,"","",false,编排采集，如果一个节目同一栏目的多条编排创建时间一样，则只会生成一条节目编排
7162,sitv产品化项目EPG,Feature,"",待升级,中,EPG投票表新增字段,王 凯娜,张 晓波,2016-02-19 11:50,"",EPG_V0.4,2016-02-16,"","",0.00,100,2016-02-16 16:00,2016-02-17 16:59,"","","","","",false,"alter table EPG_VOTE_CHOOSE add TITLE varchar(32)  comment '副标题';
alter table EPG_VOTE_CHOOSE add VOTE_POSTER varchar(64) comment '大图片700x720';
alter table EPG_VOTE_CHOOSE add VOTE_ICON varchar(64) comment '图片135x140';
alter table EPG_VOTE_CHOOSE add VOTE_STILL varchar(64) comment '图片185x190';
alter table EPG_VOTE_CHOOSE add ENABLE_STATUS int(1) default 1  comment '1:可用,0:不可用';"
7161,sitv产品化项目dcms,Feature,"",待升级,中,dCMS采集投票选项的副标题，3张图片及可用状态，将这些信息下发到EPG,王 凯娜,张 晓波,2016-02-19 17:52,内容管理,dcms-V0.3,2016-02-16,"","",0.00,100,2016-02-16 15:59,2016-02-17 18:16,"","","","","",false,""
7160,sitv产品化项目dcms,Feature,"",待升级,中,投票功能增加删除及修改功能。投票选项逻辑删除,王 凯娜,张 晓波,2016-02-19 17:52,内容管理,dcms-V0.3,2016-02-16,"","",0.00,100,2016-02-16 15:59,2016-02-17 16:51,"","","","","",false,""
7159,sitv产品化项目dcms,Feature,"",待升级,中,专辑的海报图片非必填,王 凯娜,张 晓波,2016-02-19 11:25,内容管理,dcms-V0.3,2016-02-16,"","",0.00,100,2016-02-16 15:58,2016-02-16 16:23,"","","","","",false,""
7158,SiTV产品化项目,Feature,"",待升级,中,投票选项新增副标题，3张图片及可用状态，将这些信息下发到dCMS,王 凯娜,张 晓波,2016-02-19 14:40,ccms-内容管理,新cCMS-现网版本2.0,2016-02-16,"","",0.00,100,2016-02-16 15:57,2016-02-17 18:17,"","","","","",false,""
7157,SiTV产品化项目,Feature,"",待升级,中,投票功能增加删除及修改功能。投票选项逻辑删除,王 凯娜,张 晓波,2016-02-19 14:31,ccms-内容管理,新cCMS-现网版本2.0,2016-02-16,"","",0.00,100,2016-02-16 15:57,2016-02-17 18:17,"","","","","",false,""
7156,SiTV产品化项目,Feature,"",待升级,中,专辑的海报图片非必填,王 凯娜,张 晓波,2016-02-19 11:23,ccms-内容管理,新cCMS-现网版本2.0,2016-02-16,"","",0.00,100,2016-02-16 15:56,2016-02-18 09:40,"","","","","",false,""
7141,SiTV产品化项目,Feature,"",新建,中,在CCMS中，可查询该驻地下发过的模板包以及展示栏目,殷 春捷,赖 凯云,2016-02-16 10:11,ccms-展示管理,新cCMS-现网版本2.0,2016-02-16,"","",0.00,0,2016-02-16 10:11,"","","","","","",false,在CCMS中，可查询该驻地下发过的模板包以及展示栏目
7105,SiTV产品化项目,Bug,"",新建,中,CCMS下发专辑信息中，可能不带obj_name，导致dcms不知道节目名称,殷 春捷,张 晓波,2016-02-05 17:58,ccms-内容管理,新cCMS-现网版本2.0,2016-02-05,"","",0.00,0,2016-02-05 17:58,"","",功能类,一般,"","",false,CCMS下发专辑信息中，可能不带obj_name，导致dcms不知道节目名称
7104,sitv产品化项目dcms,Bug,"",待升级,中,dcms不接收ccms下发专辑的create_type字段,殷 春捷,张 晓波,2016-02-19 13:10,专辑管理,dcms-V0.3,2016-02-05,"","",0.00,0,2016-02-05 17:57,2016-02-16 16:24,"",功能类,一般,开发,已上线,false,dcms不接收ccms下发专辑的create_type字段
7103,sitv产品化项目dcms,Bug,"",新建,中,ccms下发编排不刷置顶选项,殷 春捷,张 晓波,2016-02-05 17:54,编排管理,dcms-V0.3,2016-02-05,"","",0.00,0,2016-02-05 17:54,"","",功能类,一般,"","",false,ccms下发编排不刷置顶选项
7102,SiTV产品化项目,Bug,"",待升级,最高,ccms下发到dcms的专辑，dcms采集到的专辑没采到create_type字段,王 凯娜,张 晓波,2016-02-19 13:09,dcms-内容采集,新cCMS-现网版本2.0,2016-02-05,"","",0.00,100,2016-02-05 17:51,2016-02-05 17:51,"",功能类,一般,开发,已上线,false,""
6989,sitv产品化项目dcms,Bug,"",已关闭,高,显示信息不一致。手工制作专辑与CCMS下发专辑，使用 节目相同，但在专辑中节目信息状态不同,王 凯娜,张 晓波,2016-01-29 11:13,专辑管理,dcms-V0.3,2016-01-26,"","",0.00,100,2016-01-26 15:31,2016-01-26 15:31,"",功能类,一般,开发,已上线,false,"!专辑中节目状态显示不一致1.png!
_________________________________________

!专辑中节目状态显示不一致2.png!
_________________________________________

!专辑中节目状态显示不一致3.png!"
6988,sitv产品化项目dcms,Bug,"",已关闭,高,节目显示未到位。实际编排时，是已到位。保存打开，显示未到位,王 凯娜,张 晓波,2016-01-29 11:14,专辑管理,dcms-V0.3,2016-01-26,"","",0.00,100,2016-01-26 15:27,2016-01-26 15:27,"",功能类,一般,开发,已上线,false,!节目显示未到位.png!
6987,sitv产品化项目dcms,Bug,"",已关闭,高,专辑无法设置默认页面，点击确认后页面报500错误，具体见下图,王 凯娜,张 晓波,2016-01-29 11:14,专辑管理,dcms-V0.3,2016-01-26,"","",0.00,100,2016-01-26 15:25,2016-01-26 15:25,"",功能类,一般,开发,已上线,false,!专辑无法设置默认首页.png!
6898,sitv产品化项目dcms,Bug,"",新建,中,武进驻地，注入时可能存在后台报错，导致可用节目并未发布到前台,殷 春捷,张 晓波,2016-01-19 10:56,内容采集,dcms-V0.3,2016-01-19,"","",0.00,0,2016-01-19 10:56,"","",功能类,一般,"","",false,武进驻地，注入时可能存在后台报错，导致可用节目并未发布到前台
6897,sitv产品化项目dcms,Bug,"",已关闭,中,编排入库时，可能发生编排未更新的状况,殷 春捷,张 晓波,2016-01-29 11:11,编排管理,dcms-V0.3,2016-01-19,"","",0.00,100,2016-01-19 10:55,2016-01-19 11:10,"",代码错误,一般,"","",false,编排入库时，可能发生编排未更新的状况
6896,sitv产品化项目dcms,Bug,"",已关闭,中,AMS中，删除条目点击重新注入时，会生成content_program表不可用的记录,殷 春捷,张 晓波,2016-01-29 11:12,内容采集,dcms-V0.3,2016-01-19,"","",0.00,100,2016-01-19 10:54,2016-01-19 10:56,"",代码错误,一般,"","",false,AMS中，删除条目点击重新注入时，会生成content_program表不可用的记录
6642,sitv产品化项目dcms,Bug,"",已关闭,中,DCMS中专辑删除后，单多剧集容器中依然存在关联关系无法进行删除,殷 春捷,张 晓波,2015-12-16 15:46,专辑管理,dcms-V0.3,2015-12-16,"","",0.00,0,2015-12-16 15:35,2015-12-16 15:46,"","","","","",false,期望DCMS可以自动删除专辑（或进待删除），并且专辑删除后专辑内的节目可正常删除。
5728,SiTV产品化项目,Bug,"",已关闭,中,在新ccms中，如果编辑批量过审在不同栏目中同样的节目，会出现掉工单的现象,殷 春捷,张 晓波,2015-10-09 09:02,ccms-编排管理,V3.0,2015-09-29,"","",0.00,100,2015-09-29 14:35,2015-09-29 14:52,"","","","","",false,在新ccms中，如果编辑批量过审在不同栏目中同样的节目，会出现掉订单及其他不可预知的错误。
5702,sitv产品化项目dcms,Feature,"",新建,中,江阴DCMS本地账号登录时，在编排界面希望默认不看到SiTV的节目,殷 春捷,张 晓波,2015-09-28 10:47,编排管理,dcms-V0.3,2015-09-28,"","",0.00,0,2015-09-28 10:47,"","","","","","",false,江阴DCMS本地账号登录时，在编排界面希望默认不看到SiTV的节目
5534,SiTV产品化项目,Bug,"",已关闭,中,丹阳OTT采集更新program的assetID和码率,王 凯娜,张 晓波,2015-09-29 17:23,dcms-内容采集,dcms-V0.3,2015-09-15,"","",0.00,100,2015-09-15 16:43,2015-09-15 16:43,"","","","","",false,""
5477,SiTV产品化项目,Bug,"",新建,中,详单刷新无法将已下发的标清多剧集替换成高清源（高清源后绑）,殷 春捷,赖 凯云,2015-09-10 16:21,ccms-内容管理,V3.0,2015-09-10,"","",0.00,0,2015-09-10 16:21,"","","","","","",false,详单刷新无法将已下发的标清多剧集替换成高清源（高清源后绑）
5468,SiTV产品化项目,Feature,"",新建,中,节目资费可用excel进行导入导出操作,殷 春捷,赖 凯云,2015-09-10 14:07,ccms-内容管理,新cCMS-现网版本2.0,2015-09-10,"","",0.00,0,2015-09-10 14:07,"","","","","","",false,"节目资费可用excel进行导入导出操作
节目名、驻地、新增/删除、资费、高标"
5190,sitv产品化项目dcms,Bug,"",新建,中,迁移数据由于多剧集剧头没有迁移过来，导致割接后老数据中的多剧集无法进入待删除,殷 春捷,张 晓波,2015-08-25 09:37,内容管理,dcms-V0.3,2015-08-25,"","",0.00,0,2015-08-25 09:37,"","","","","","",false,迁移数据由于多剧集剧头没有迁移过来，导致割接后老数据中的多剧集无法进入待删除
5089,SiTV产品化项目,Feature,"",已关闭,中,OTT驻地下发assetId规则,王 凯娜,张 晓波,2015-09-17 08:54,ccms-驻地管理,新cCMS-现网版本2.0,2015-08-19,"","",0.00,100,2015-08-19 15:06,2015-09-11 15:41,"","","","","",false,"1、更新：驻地已有内容，ccms再次下发对驻地program的assetId进行更新
a、在ccms-驻地管理中的媒体文件配置中配置要下发哪种格式的assetId，如图所示
!丹阳ott多码率1.png!
b、高清格式的下发7.5M的assertid，标清的下发3.75M的assertid
c、到dcms看program的“资产唯一标识”是否有更新

2、全新内容下发：
a、同上
b、下发的内容xml中有多个媒资的信息，里边的assertid是媒资文件各自生成的2018(2019)+ccms中源assertid的后缀
c、到dcms看program的“资产唯一标识”显示的是ccms中该内容7.5(3.75)的assertid
d、到dcms看program的文件中的媒资文件的assertid是媒资文件各自生成的2018(2019)+ccms中源assertid的后缀"
4997,SiTV产品化项目,Feature,"",已关闭,中,节目管理--文件管理的操作列：新增一个索贝类型的迁出功能,王 凯娜,徐 亮文,2015-08-13 09:18,ccms-节目管理,新cCMS-现网版本2.0,2015-08-12,"","",0.00,100,2015-08-12 18:49,2015-08-12 18:49,"","","","","",false,""
4977,SiTV产品化项目,Feature,"",已关闭,中,可用并且内容非删除的 就不生成工单 其他都生成 空包或实体包按照缓存是否存在来判断,殷 春捷,张 晓波,2015-09-17 08:54,ccms-驻地管理,新cCMS-现网版本2.0,2015-08-11,"","",0.00,100,2015-08-11 11:15,2015-08-19 15:34,"","","","","",false,"可用并且内容非删除的 就不生成工单
其他都生成"
4950,SiTV产品化项目,Bug,"",已关闭,中,投票选项可用之后，ccms序号变更，发下来之后dcms的投票选项序号没变,王 凯娜,张 晓波,2015-09-15 16:22,ccms-内容管理,dcms-V0.3,2015-08-07,"","",0.00,100,2015-08-07 18:04,2015-08-07 18:04,"","","","","",false,""
4949,SiTV产品化项目,Feature,"",已关闭,中,CCMS操作日志，能点击查看，查看到详细传的参数,殷 春捷,赖 凯云,2015-09-17 08:54,ccms-系统管理,新cCMS-现网版本2.0,2015-08-07,"","",0.00,100,2015-08-07 17:25,2015-08-18 10:40,"","","","","",false,CCMS操作日志，能点击查看，查看到详细传的参数
4948,sitv产品化项目dcms,Feature,"",已关闭,中,推荐位dcms更新后能做出区分，与展示栏目相同,殷 春捷,张 晓波,2015-09-15 16:20,展示栏目管理,dcms-V0.3,2015-08-07,"","",0.00,100,2015-08-07 16:39,2015-08-19 14:24,"","","","","",false,""
4947,SiTV产品化项目,Feature,"",已关闭,中,中央栏目中修改高标清属性，不下发到SP层,殷 春捷,张 晓波,2015-08-13 09:18,ccms-编排管理,新cCMS-现网版本2.0,2015-08-07,"","",0.00,100,2015-08-07 16:20,2015-08-07 16:25,"","","","","",false,"实际结果：中央栏目中修改高标清属性，随即下发到SP层

期望结果：不下发到SP层，SP那层是个性化的，人工手动去改"
4941,SiTV产品化项目,Feature,"",新建,中,栏目发布等的发布操作能记住之前发过的驻地或关联过的驻地,殷 春捷,赖 凯云,2015-08-07 11:19,ccms-编排管理,新cCMS-现网版本2.0,2015-08-07,"","",0.00,0,2015-08-07 11:19,"","","","","","",false,栏目发布等的发布操作能记住之前发过的驻地或关联过的驻地
4940,sitv产品化项目dcms,Feature,"",已关闭,中,展示栏目dcms更新后能做出区分,殷 春捷,张 晓波,2015-09-15 16:22,展示栏目管理,dcms-V0.3,2015-08-07,"","",0.00,100,2015-08-07 11:15,2015-08-07 14:07,"","","","","",false,展示栏目dcms更新后能做出区分
4939,sitv产品化项目dcms,Bug,"",已关闭,中,栏目采集没有采集生失效状态,殷 春捷,张 晓波,2015-09-15 16:22,内容采集,dcms-V0.3,2015-08-07,"","",0.00,100,2015-08-07 11:09,2015-08-07 11:13,"","","","","",false,"实际结果：栏目采集没有采集生失效状态
期望结果：采集到栏目的生、失效状态，在dcms的栏目中状态显示为可用、不可用"
4938,sitv产品化项目dcms,Bug,"",已关闭,中,展示栏目管理中翻页连接错误,殷 春捷,张 晓波,2015-09-15 16:22,展示栏目管理,dcms-V0.3,2015-08-07,"","",0.00,100,2015-08-07 11:07,2015-08-07 11:10,"","","","","",false,""
4937,SiTV产品化项目,Bug,"",已关闭,中,展示栏目中，栏目失效后不下发失效状态,殷 春捷,张 晓波,2015-09-17 08:54,ccms-编排管理,新cCMS-现网版本2.0,2015-08-07,"","",0.00,100,2015-08-07 11:07,2015-08-19 15:31,"","","","","",false,""
4936,SiTV产品化项目,Bug,"",新建,中,中央栏目失效后，栏目status不下发。,殷 春捷,赖 凯云,2015-08-07 11:06,ccms-编排管理,新cCMS-现网版本2.0,2015-08-07,"","",0.00,0,2015-08-07 11:06,"","","","","","",false,中央栏目失效后，栏目status不下发。
4918,SiTV产品化项目,Feature,"",新建,中,将所有页面上显示的CP驻地隐藏掉,王 凯娜,赖 凯云,2015-08-04 17:54,ccms-共性问题,新cCMS-现网版本2.0,2015-08-04,"","",0.00,0,2015-08-04 17:54,"","","","","","",false,""
4912,SiTV产品化项目,Feature,"",已关闭,中,ADI模板可以设置为空：当驻地配置中xml模板内容为请选择时，下发的内容ADI模板不包含ADI的节点信息，为空,王 凯娜,张 晓波,2015-08-04 14:31,ccms-驻地管理,新cCMS-现网版本2.0,2015-08-04,"","",0.00,100,2015-08-04 11:29,2015-08-04 11:29,"","","","","",false,""
4911,SiTV产品化项目,Feature,"",已关闭,中,编排管理中驻地栏目树和右边的列表排序一致,王 凯娜,张 晓波,2015-08-06 10:50,ccms-编排管理,新cCMS-现网版本2.0,2015-08-04,"","",0.00,100,2015-08-04 11:18,2015-08-04 11:18,"","","","","",false,""
4906,SiTV产品化项目,Bug,"",已关闭,中,投票详情页面翻页和选择页数功能在点击后会跳回上一级页面。,王 凯娜,张 晓波,2015-08-06 10:50,ccms-内容管理,新cCMS-现网版本2.0,2015-08-03,"","",0.00,100,2015-08-03 10:22,2015-08-04 17:50,"","","","","",false,""
4779,SiTV产品化项目,Feature,"",已关闭,中,推荐位，按发布按钮时记住上次所发过的驻地,殷 春捷,赖 凯云,2015-08-13 09:18,ccms-展示管理,新cCMS-现网版本2.0,2015-07-27,"","",0.00,100,2015-07-27 13:58,2015-08-12 17:19,"","","","","",false,推荐位，按发布按钮时记住上次所发过的驻地
4778,SiTV产品化项目,Bug,"",新建,中,导出片单功能经常无法正常导出片单,殷 春捷,赖 凯云,2015-07-27 13:57,ccms-编排管理,新cCMS-现网版本2.0,2015-07-27,"","",0.00,0,2015-07-27 13:57,"","","","","","",false,导出片单功能经常无法正常导出片单
4755,SiTV产品化项目,Feature,"",已关闭,中,编排管理中审核的时候判断SP层该内容为有缓存或者缓存在线，就不生成打包任务,王 凯娜,张 晓波,2015-08-06 10:50,ccms-编排管理,新cCMS-现网版本2.0,2015-07-24,"","",0.00,100,2015-07-24 15:00,2015-07-27 13:33,"","","","","",false,""
4733,SiTV产品化项目,Bug,"",新建,高,在专栏（专辑）里边新增一个热炒的内容，生产工单中上线时间取得是该专栏（专辑）的上线时间，期望结果：上线时间取该内容本身的上线时间，这样生产工单类型才会使热炒,王 凯娜,赖 凯云,2015-07-23 18:33,ccms-工单管理,新cCMS-现网版本2.0,2015-07-23,"","",0.00,0,2015-07-23 18:33,"","","","","","",false,""
4720,SiTV产品化项目,Bug,"",已关闭,中,编排管理-编排复制的时候将create_time也一并复制了，期望结果：不能复制create_time，而是将create_time设置为当系统时间,王 凯娜,张 晓波,2015-08-06 10:50,ccms-编排管理,新cCMS-现网版本2.0,2015-07-23,"","",0.00,100,2015-07-23 14:33,2015-07-23 14:33,"","","","","",false,""
4715,SiTV产品化项目,Bug,"",已关闭,中,节目字符长度判断改动：现在系统中节目名称长度限制为不超过50个中文字符，到dcms注入系统时，因字符数超出最大值，导致不能注入。现在改为不超过25个英文字符，一个中文字符算2个英文字符。,王 凯娜,赖 凯云,2015-08-06 10:50,ccms-内容管理,新cCMS-现网版本2.0,2015-07-23,"","",0.00,100,2015-07-23 11:25,2015-08-04 10:04,"","","","","",false,""
4640,SiTV产品化项目,Feature,"",已关闭,中,节目在有编排的情况下不允许解绑节目,殷 春捷,赖 凯云,2015-08-06 10:45,ccms-内容管理,新cCMS-现网版本2.0,2015-07-17,"","",0.00,100,2015-07-17 15:22,2015-08-05 15:53,"","","","","",false,"节目在有编排的情况下不允许解绑节目
包括在编排、多剧集、专栏、专辑、投票里边"
4581,sitv产品化项目dcms,Feature,"",新建,中,内容采集——bo采集增加一个重新处理按钮,殷 春捷,张 晓波,2015-07-15 09:46,内容采集,dcms-V0.3,2015-07-15,"","",0.00,0,2015-07-15 09:46,"","","","","","",false,内容注入——bo采集增加一个重新处理按钮
4578,sitv产品化项目dcms,Bug,"",已关闭,中,缓存被清理之后 文件重传不引起注入的bug,王 凯娜,张 晓波,2015-07-15 17:33,内容管理,dcms-V0.3,2015-07-14,"","",0.00,100,2015-07-14 16:19,2015-07-14 16:19,"","","","","",false,"现象：传输失败，将缓存清理后，在IMSP传输查询点击重传，传输完成后停在这步，不再生成注入任务。
期望结果：能够生成注入任务"
4574,sitv产品化项目dcms,Feature,"",已关闭,中,单剧集/多剧集导出 按照上线时间倒序排序,殷 春捷,张 晓波,2015-07-23 11:28,编排管理,dcms-V0.3,2015-07-14,"","",0.00,100,2015-07-14 10:45,2015-07-14 15:39,"","","","","",false,单剧集/多剧集导出 按照上线时间倒序排序
4573,sitv产品化项目dcms,Feature,"",已关闭,中,专栏缺集导出 按照对外时间倒序排序,殷 春捷,张 晓波,2015-07-23 11:28,编排管理,dcms-V0.3,2015-07-14,"","",0.00,100,2015-07-14 10:45,2015-07-14 15:54,"","","","","",false,专栏缺集导出 按照对外时间倒序排序
4537,SiTV产品化项目,Feature,"",反馈协商,中,缺集页面：康熙来了专栏只能显示20个节目，总共编辑了31个节目，11个节目就进待删除了，然后删除了，缺集页面就出现那11个节目了。缺集页面显示不够准确，会把不要的显示出来。,王 凯娜,"",2015-07-08 19:10,ccms-监控,新cCMS-现网版本2.0,2015-07-08,"","",0.00,0,2015-07-08 19:07,2015-07-08 19:07,"","","","","",false,""
4536,SiTV产品化项目,Feature,"",已关闭,中,对大监控页面做兼容性修改，加一列3天内错的状态并且将当天和3天内错误的列标红,王 凯娜,张 晓波,2015-07-23 11:26,ccms-监控,新cCMS-现网版本2.0,2015-07-08,2015-07-17,"",0.00,100,2015-07-08 19:06,2015-07-23 11:26,"","","","","",false,""
4535,SiTV产品化项目,Feature,"",已关闭,低,在驻地管理-单剧集中内容状态为已删除状态的，在内容中做修改动作后不再下发【增加对内容状态和可用状态的监控，然后实现下发的过滤】,王 凯娜,张 晓波,2015-08-06 10:50,ccms-监控,新cCMS-现网版本2.0,2015-07-08,2015-07-17,"",0.00,100,2015-07-08 19:06,2015-07-28 14:38,"","","","","",false,""
4534,SiTV产品化项目,Bug,"",新建,高,打包任务下发的时候，一个驻地卡住时，整个队列卡住的问题,王 凯娜,张 晓波,2015-07-08 19:03,ccms-驻地管理,新cCMS-现网版本2.0,2015-07-08,2015-07-17,"",0.00,0,2015-07-08 19:02,"","","","","","",false,""
4533,sitv产品化项目dcms,Feature,"",已关闭,高,imsp采集连续剧过慢，需优化,王 凯娜,张 晓波,2015-07-15 17:33,编排管理,dcms-V0.3,2015-07-08,"","",0.00,100,2015-07-08 18:48,2015-07-09 10:46,"","","","","",false,"原来采集连续剧时发现该剧头中有可用的子集就一并发往EPG
更改后就不发子集数据，只发剧头信息"
4532,sitv产品化项目dcms,Bug,"",已关闭,高,缓存库中手动下发的问题,王 凯娜,张 晓波,2015-07-15 17:33,内容管理,dcms-V0.3,2015-07-08,"","",0.00,100,2015-07-08 18:48,2015-07-10 16:13,"","","","","",false,"内容节目被删除后在cms_content_program表中该节目状态变为-1，在单剧集内容页面上不显示
该节目缓存状态为不在线、有缓存；在内容缓存页面手动点击注入，在cms_content_program表中没有新生成一条记录

期望结果：手动点击注入后在cms_content_program表中应该生成一条新的记录

"
4531,sitv产品化项目dcms,Bug,"",已关闭,高,内容价格显示和修改问题,王 凯娜,张 晓波,2015-07-15 17:33,内容管理,dcms-V0.3,2015-07-08,"","",0.00,100,2015-07-08 18:47,2015-07-10 10:17,"","","","","",false,""
4530,sitv产品化项目dcms,Feature,"",已关闭,高,定时清理缓存的任务中加时间过滤，近三天的不清理,王 凯娜,张 晓波,2015-07-15 17:33,内容管理,dcms-V0.3,2015-07-08,"","",0.00,100,2015-07-08 18:45,2015-07-10 11:04,"","","","","",false,""
4478,SiTV产品化项目,Feature,"",已关闭,高,编排管理-编排导出，导出的excel表格新增一个资费列,王 凯娜,赖 凯云,2015-07-23 11:26,ccms-编排管理,新cCMS-现网版本2.0,2015-07-02,2015-07-17,"",0.00,100,2015-07-02 14:05,2015-07-20 09:50,"","","","","",false,""
4446,SiTV产品化项目,Feature,"",已关闭,中,采集的时候发现名称中有空格直接把空格去掉,王 凯娜,赖 凯云,2015-07-23 11:26,ccms-内容采集,新cCMS-现网版本2.0,2015-06-26,"","",0.00,100,2015-06-26 10:01,2015-07-13 09:43,"","","","","",false,""
4420,SiTV产品化项目,Feature,"",已关闭,中,专辑刷新详单后，也要生成新增加的内容的工单，原来之后多剧集和专栏能生成新增内容的生产工单,王 凯娜,张 晓波,2015-07-08 18:32,ccms-内容管理,新cCMS-现网版本2.0,2015-06-17,"","",0.00,100,2015-06-17 17:58,2015-06-23 11:07,"","","","","",false,""
4407,SiTV产品化项目,Feature,"",已关闭,中,投票发布的选择驻地页面默认勾选已经分发过的驻地,王 凯娜,赖 凯云,2015-07-08 15:53,ccms-内容管理,新cCMS-现网版本2.0,2015-06-17,"","",0.00,100,2015-06-17 14:23,2015-07-08 15:53,"","","","","",false,""
4404,sitv产品化项目dcms,Feature,"",已关闭,中,专栏中序号为0的节目就默认按上线日期自动倒序(确认顺序，第一顺序为序号，序号一样时按照上线时间倒序),王 凯娜,张 晓波,2015-07-08 18:37,专栏管理,dcms-V0.3,2015-06-17,"","",0.00,100,2015-06-17 10:48,2015-06-17 16:11,"","","","","",false,""
4389,SiTV产品化项目,Bug,"",已关闭,很高,编排管理-产品编排：发布到驻地，阿春反映可能会漏编排,王 凯娜,张 晓波,2015-06-17 18:59,ccms-编排管理,新cCMS-现网版本2.0,2015-06-16,"","",0.00,100,2015-06-16 09:51,2015-06-16 18:05,"","","","","",false,""
4388,SiTV产品化项目,Feature,"",已关闭,中,编排统计上线量的，在原来的统计基础上增加一行计算仅高清时长之和、仅标清时长之和,王 凯娜,张 晓波,2015-07-08 18:32,ccms-编排管理,新cCMS-现网版本2.0,2015-06-16,"","",0.00,100,2015-06-16 09:40,2015-06-17 15:42,"","","","","",false,""
4387,SiTV产品化项目,Feature,"",新建,中,编排统计下线量，和上线量的导出格式一样,王 凯娜,赖 凯云,2015-07-08 18:56,ccms-编排管理,新cCMS-现网版本2.0,2015-06-16,2015-07-17,"",0.00,0,2015-06-16 09:27,"","","","","","",false,""
4386,SiTV产品化项目,Feature,"",已关闭,中,在节目查询内可以直接选择导出节目片单,王 凯娜,赖 凯云,2015-09-17 08:54,ccms-节目管理,新cCMS-现网版本2.0,2015-06-16,"","",0.00,100,2015-06-16 09:22,2015-08-18 10:42,"","","","","",false,导出的字段包括页面上所有显示的以及简介
4385,SiTV产品化项目,Feature,"",已关闭,中,节目管理-节目查询可以选择按片单名称、子集数排序,王 凯娜,张 晓波,2015-07-08 18:32,ccms-节目管理,新cCMS-现网版本2.0,2015-06-16,"","",0.00,100,2015-06-16 09:21,2015-06-17 17:08,"","","","","",false,""
4384,sitv产品化项目dcms,Feature,"",已关闭,中,专栏、专辑新增容器一列,王 凯娜,张 晓波,2015-07-08 18:37,内容管理,dcms-V0.3,2015-06-16,"","",0.00,100,2015-06-16 09:20,2015-06-17 16:50,"","","","","",false,""
4383,sitv产品化项目dcms,Feature,"",已关闭,中,IMSP编排查询中导出去掉专栏、专辑的内容编码,王 凯娜,张 晓波,2015-07-15 17:33,编排管理,dcms-V0.3,2015-06-16,"","",0.00,100,2015-06-16 09:20,2015-07-10 11:30,"","","","","",false,""
